Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
3.5,3.84,5.63,3.94,5.51,7.32,2.81,4.5,0.0,5.2,4.3,5.01,4.75
3.51,3.74,5.24,3.88,5.44,7.21,2.8,4.45,0.0,5.26,4.32,5.01,4.75
3.51,3.61,5.44,3.59,5.34,7.28,2.83,4.47,0.0,5.26,4.38,5.1,4.78
3.58,3.78,5.66,4.03,5.47,7.28,2.84,4.47,0.0,5.26,4.35,5.14,4.8
3.51,3.72,5.59,4.05,5.47,7.28,2.83,4.43,0.0,5.26,4.3,4.78,4.38
3.51,3.74,5.66,4.05,5.47,7.28,2.85,4.5,0.0,5.34,4.38,5.24,4.84
3.36,3.7,5.78,4.03,5.55,7.44,2.91,4.53,0.0,5.38,4.45,5.34,4.93
3.59,3.78,5.78,4.01,5.51,7.28,2.9,4.53,0.0,5.3,4.43,5.38,4.89
3.59,3.88,5.81,4.1,5.55,7.32,2.95,4.53,0.0,5.38,4.43,4.26,4.84
3.66,3.9,5.81,4.11,5.51,7.28,2.91,4.53,0.0,5.38,4.38,4.01,4.84
3.67,3.88,5.78,4.07,5.44,7.1,2.91,4.47,0.0,5.34,4.38,5.44,4.8
3.8,3.92,5.81,4.1,5.59,7.32,2.95,4.56,0.0,5.4,4.43,5.47,4.86
3.84,3.96,5.85,4.11,5.63,7.44,2.99,4.61,0.0,5.4,4.45,5.59,4.93
3.88,3.96,5.93,4.1,5.63,7.39,2.95,4.56,0.0,5.44,4.47,5.26,4.95
3.67,3.96,5.81,4.11,5.66,7.56,2.95,4.56,0.0,5.51,4.5,5.47,5.05
3.67,3.9,5.78,4.11,5.59,7.56,2.92,4.53,0.0,5.59,4.5,5.69,5.1
3.58,3.55,4.99,3.74,4.99,6.84,2.83,4.11,0.0,4.93,3.94,4.86,4.69
3.8,3.88,5.74,4.1,5.63,7.5,2.97,4.45,0.0,4.69,4.3,4.95,4.99
3.78,3.84,5.38,3.8,5.07,6.54,2.78,4.07,0.0,4.93,3.92,4.5,4.4
3.84,3.88,5.66,4.05,5.59,7.32,2.96,4.47,0.0,5.4,4.35,5.05,4.93
3.86,3.86,5.74,4.01,5.55,7.28,2.95,4.45,0.0,5.4,4.32,5.24,4.93
3.78,3.74,5.44,3.72,5.3,6.54,2.78,4.03,0.0,4.89,3.94,3.36,4.43
3.59,3.59,5.14,3.92,5.1,6.59,2.84,4.03,0.0,4.93,3.9,3.66,4.53
4.01,3.99,5.93,4.35,5.78,7.69,3.1,4.47,0.0,5.59,4.3,5.2,5.01
3.92,3.94,5.78,4.32,5.66,7.56,3.08,4.4,0.01,5.47,4.14,0.25,4.8
3.84,3.94,5.81,4.26,5.63,7.5,3.06,4.35,0.0,5.38,4.1,0.01,4.8
4.01,4.05,6.01,4.45,5.89,7.81,3.17,4.47,0.0,5.59,4.19,0.01,4.99
4.05,4.19,6.05,4.3,5.81,7.63,3.17,4.3,0.0,5.51,3.96,0.0,4.78
4.11,4.21,6.18,4.3,5.81,7.69,3.15,4.32,0.0,5.59,4.01,0.03,4.59
4.26,4.16,6.05,4.43,5.89,7.81,3.26,4.43,0.0,5.69,4.19,4.24,4.99
4.35,4.21,6.1,4.43,5.89,7.81,3.28,4.4,0.0,5.66,4.19,5.07,4.99
4.32,4.16,5.97,4.4,5.81,7.69,3.21,4.4,0.0,5.63,4.14,4.99,4.89
3.88,3.74,5.2,3.96,5.07,6.54,2.96,3.86,0.0,4.84,3.64,4.11,4.78
4.28,4.16,6.05,4.32,5.78,7.69,3.21,4.38,0.0,5.59,4.14,4.07,4.89
4.28,4.14,5.93,4.4,5.69,7.56,3.19,4.38,0.0,5.55,4.16,4.61,4.89
4.28,4.16,5.97,4.32,5.69,7.56,3.2,4.35,0.01,5.51,4.14,4.47,4.89
4.21,4.14,5.93,4.4,5.78,7.69,3.25,4.35,0.0,5.51,4.07,4.69,4.84
4.26,4.11,5.89,4.4,5.69,7.56,3.17,4.3,0.01,5.44,4.01,4.64,4.75
4.28,4.14,5.93,4.35,5.74,7.5,3.19,4.32,0.0,5.38,3.94,4.93,4.66
4.26,4.14,5.97,4.4,5.78,7.56,3.19,4.3,0.0,5.4,3.92,4.47,4.59
4.4,4.28,6.18,4.43,5.89,7.69,3.3,4.4,0.0,5.47,4.01,4.64,4.56
4.3,4.32,5.97,4.56,5.85,7.39,3.21,4.3,0.0,5.3,3.74,4.14,4.38
4.3,4.26,5.97,4.59,5.81,7.32,3.24,4.24,0.0,5.18,3.7,4.3,4.26
4.24,4.28,6.01,4.64,5.85,7.44,3.21,4.28,0.0,5.3,3.7,4.4,4.28
4.26,4.26,6.01,4.64,5.89,7.5,3.21,4.26,0.0,5.26,3.66,4.35,4.14
3.88,4.21,5.97,4.59,5.93,7.32,3.17,4.24,0.0,5.3,3.66,4.19,4.26
4.19,4.28,5.97,4.59,5.85,7.56,3.19,4.16,0.01,5.34,3.64,4.32,4.26
4.03,3.7,5.81,4.47,5.81,7.44,3.21,4.26,0.01,5.26,3.72,4.26,4.35
4.11,4.24,5.97,4.64,5.89,7.5,3.21,4.26,0.0,5.26,3.64,4.3,4.32
4.14,4.26,5.97,4.61,5.81,7.5,3.2,4.24,0.0,5.3,3.67,3.04,4.3
4.05,4.24,6.01,4.61,5.81,7.39,3.21,4.28,0.0,5.3,3.66,4.56,4.3
3.9,3.63,5.24,4.11,5.4,5.85,2.96,3.94,0.01,5.26,3.63,4.35,4.16
4.21,4.28,6.1,4.59,5.81,7.56,3.21,4.32,0.0,5.4,3.8,4.5,4.47
3.84,3.99,5.97,4.64,5.85,7.75,3.24,4.1,0.01,4.93,3.21,3.9,4.43
4.28,4.24,6.05,4.72,5.89,7.5,3.3,4.35,0.0,5.51,3.81,4.21,4.56
4.3,4.26,5.89,4.64,5.93,7.75,3.26,4.28,0.01,5.44,3.78,3.96,4.35
4.28,4.26,5.93,4.64,5.81,7.63,3.28,4.28,0.0,5.4,3.76,4.16,4.5
4.28,4.21,6.01,4.72,5.81,7.69,3.26,4.26,0.0,5.38,3.74,4.14,4.47
4.26,4.21,5.89,4.59,5.81,7.44,3.24,4.28,0.0,5.34,3.7,4.35,4.38
3.88,3.8,5.2,4.05,5.14,6.54,3.05,3.92,0.0,4.8,3.42,4.03,4.1
3.96,4.03,5.44,4.28,5.4,6.89,3.04,3.9,0.0,5.05,3.58,3.35,4.07
3.86,3.92,5.63,4.35,5.55,7.05,3.15,4.14,0.0,5.2,3.24,3.94,4.19
4.03,4.01,5.66,4.38,5.55,7.32,3.17,4.16,0.0,5.2,3.66,4.21,4.32
3.94,3.86,5.44,4.3,5.44,7.0,3.14,4.03,0.0,5.07,3.51,3.94,4.21
4.05,3.99,5.63,4.4,5.51,7.1,3.15,4.07,0.0,5.1,3.61,3.99,4.28
4.07,4.01,5.66,4.4,5.59,7.32,3.21,4.19,0.01,5.3,3.74,4.11,4.38
3.96,4.05,5.85,4.53,5.78,7.32,3.28,4.3,0.0,5.4,3.8,4.11,4.5
4.28,4.16,5.89,4.59,5.78,7.5,3.28,4.3,0.0,5.38,3.81,4.66,4.47
4.28,4.16,5.81,4.5,5.69,7.39,3.26,4.28,0.0,5.3,3.78,4.66,4.45
4.24,4.14,5.85,4.47,5.59,7.28,3.26,4.24,0.0,5.26,3.78,4.64,4.43
4.21,4.11,5.89,4.5,5.63,7.1,3.21,4.24,0.0,5.24,3.72,4.56,4.38
4.26,4.16,5.89,4.47,5.63,7.16,3.26,4.26,0.0,5.24,3.76,4.47,4.38
4.26,4.14,5.78,4.47,5.59,7.21,3.24,4.24,0.0,5.2,3.72,4.4,4.38
4.43,4.26,5.89,4.56,5.85,7.39,3.26,4.3,0.0,5.05,3.64,4.07,4.35
4.5,4.3,5.97,4.64,5.85,7.56,3.26,4.28,0.0,5.34,3.74,4.3,4.43
4.47,4.26,5.97,4.61,5.85,7.56,3.28,4.3,0.0,5.38,3.78,4.32,4.4
4.45,4.26,5.97,4.61,5.85,7.5,3.26,4.3,0.0,5.34,3.76,4.35,4.4
4.4,4.24,5.89,4.53,5.69,7.39,3.25,4.26,0.0,5.26,3.74,4.5,4.32
4.5,4.3,6.01,4.64,5.85,7.56,3.26,4.3,0.0,5.4,3.81,4.59,4.43
4.47,4.3,5.93,4.56,5.85,7.5,3.28,4.32,0.01,5.38,3.76,3.47,4.4
4.5,4.28,6.01,4.59,5.85,7.56,3.28,4.32,0.01,5.4,3.8,4.61,4.43
4.47,4.28,6.05,4.61,5.85,7.5,3.28,4.35,0.01,5.38,3.76,4.59,4.38
4.19,4.24,6.01,4.45,5.69,7.32,3.25,4.28,0.0,5.4,3.78,4.59,4.4
4.47,4.28,5.89,4.56,5.78,7.44,3.3,4.28,0.0,5.38,3.74,4.53,4.14
4.43,4.26,5.89,4.64,5.89,7.63,3.33,4.28,0.0,5.26,3.74,4.53,4.45
4.47,4.26,6.01,4.64,5.89,7.56,3.31,4.28,0.0,5.44,3.8,4.28,4.43
4.53,4.28,5.97,4.59,5.81,7.63,3.31,4.26,0.0,5.4,3.8,4.05,4.43
4.5,4.28,6.01,4.61,5.85,7.5,3.3,4.32,0.01,5.44,3.81,3.9,4.43
