Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.75,2.85,3.9,3.03,3.4,4.1,1.21,4.16,1.4,4.45,5.1,3.81,4.4
2.7,2.74,3.88,3.04,3.36,4.07,1.24,4.28,1.4,4.45,5.24,3.88,4.56
2.65,2.69,3.81,2.99,3.31,4.07,1.23,4.21,1.36,4.43,5.26,3.86,4.56
2.58,2.7,3.8,3.05,3.3,4.03,1.17,4.19,1.36,4.47,5.44,3.92,4.75
2.61,2.74,3.78,3.03,3.38,4.07,1.19,4.19,1.4,4.47,5.3,3.92,4.66
2.67,2.72,3.88,3.06,3.33,4.03,1.15,4.24,1.4,4.47,5.4,3.92,4.75
2.72,2.75,3.88,2.83,3.28,4.01,1.14,4.28,1.39,4.45,5.66,4.01,4.86
2.78,2.76,3.88,2.94,3.28,4.01,1.13,4.24,1.4,4.5,5.63,3.96,4.84
2.88,2.88,3.9,3.01,3.38,4.05,1.19,4.26,1.42,4.47,5.4,3.81,4.66
2.81,2.85,4.01,3.04,3.38,4.07,1.16,4.43,0.01,4.45,5.85,3.96,4.84
2.75,2.83,3.99,3.08,3.36,4.03,1.14,4.35,1.44,4.47,5.85,3.94,4.89
2.64,2.75,3.88,2.95,3.17,3.67,1.13,4.3,1.38,4.35,5.85,3.96,4.86
2.53,2.74,3.81,2.91,3.25,3.94,1.11,4.32,1.38,4.53,5.85,4.03,4.99
2.59,2.78,3.84,2.99,3.3,3.92,1.11,4.32,1.42,4.5,5.81,3.99,4.99
2.65,2.76,3.78,2.95,3.21,3.9,1.09,4.3,1.44,4.47,5.85,3.99,5.01
2.69,2.75,3.9,2.94,3.25,3.92,1.1,4.26,1.4,4.5,5.78,3.96,4.93
2.78,2.78,3.9,2.97,3.31,3.96,1.13,4.32,1.42,4.45,5.81,3.92,4.84
2.88,2.79,3.92,3.01,3.33,4.01,1.14,4.32,1.41,4.4,5.78,3.9,4.8
2.84,2.84,3.94,2.94,3.33,4.01,1.13,4.32,1.48,4.5,5.89,4.01,4.99
2.88,2.74,3.96,2.78,3.28,4.03,1.13,4.35,0.01,4.5,6.05,4.05,4.89
2.38,2.61,3.94,2.25,3.01,3.84,1.01,4.61,0.0,4.43,0.0,4.19,4.93
2.1,2.4,3.74,2.45,3.11,3.94,0.91,4.5,1.38,4.53,0.0,4.24,4.99
2.04,2.31,3.59,2.63,3.26,4.1,0.95,4.4,1.27,4.5,0.0,4.16,4.99
2.2,2.41,3.63,2.74,3.28,4.11,1.02,4.5,1.33,4.45,0.0,4.19,4.84
2.34,2.53,3.66,2.76,3.33,4.05,1.04,4.53,1.49,4.4,0.0,4.05,4.8
2.41,2.54,3.7,2.76,3.28,4.05,1.08,4.56,1.5,4.3,0.0,4.03,4.8
2.41,2.63,3.8,2.85,3.36,4.16,1.09,4.59,1.48,4.32,0.0,4.05,4.8
2.59,2.65,3.8,2.89,3.35,4.16,1.11,4.5,1.48,4.4,0.0,4.07,4.8
2.6,2.65,3.74,2.9,3.35,4.14,1.1,4.53,1.49,4.45,0.0,4.11,4.95
2.61,2.63,3.78,2.91,3.41,4.16,1.13,4.5,1.5,4.45,0.0,4.16,5.01
2.64,2.69,3.7,2.94,3.36,4.16,1.14,4.47,1.5,4.47,0.0,4.1,4.93
2.69,2.7,3.8,3.03,3.42,4.16,1.13,4.59,1.49,4.53,0.0,4.14,5.05
2.7,2.71,3.74,2.95,3.33,4.1,1.09,4.4,1.41,4.4,0.0,4.14,5.05
2.72,2.72,3.84,2.92,3.33,4.19,1.1,4.47,1.51,4.43,0.0,4.19,5.14
2.74,2.76,3.81,2.99,3.42,4.21,1.09,4.03,1.49,4.53,0.0,4.1,5.07
2.69,2.7,3.84,2.97,3.33,4.16,1.08,4.45,1.5,4.47,0.0,4.11,5.14
2.83,2.83,3.84,2.97,3.31,4.07,1.06,4.43,1.5,4.4,0.0,4.11,5.1
