Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.51,2.81,3.76,2.41,2.15,2.65,0.89,5.66,1.42,2.85,0.0,3.74,3.55
2.53,2.85,3.74,2.41,2.14,2.65,0.89,5.66,1.44,2.9,0.0,3.67,3.5
2.6,2.85,3.72,2.42,2.14,2.7,0.88,5.74,1.35,2.91,0.0,3.74,3.58
2.6,2.89,3.72,2.45,2.15,2.63,0.88,5.66,1.41,2.91,0.0,3.78,3.61
2.59,2.88,3.78,2.45,2.15,2.64,0.95,5.74,1.5,2.88,0.0,3.8,3.61
2.63,2.84,3.63,2.45,2.19,2.59,0.96,5.85,1.5,2.89,0.0,3.8,3.59
2.63,2.9,3.84,2.44,2.19,2.67,0.96,5.85,1.51,2.9,0.0,3.7,3.58
2.63,2.91,3.81,2.47,2.15,2.69,0.98,5.85,1.51,2.9,0.0,3.72,3.58
2.6,2.94,3.81,2.46,2.19,2.69,0.98,5.85,1.52,2.91,0.0,3.72,3.59
2.63,2.92,3.81,2.5,2.19,2.69,0.98,5.89,1.52,2.95,0.0,3.74,3.61
2.63,2.91,3.86,2.49,2.19,2.65,0.96,5.89,1.54,2.95,0.0,3.8,3.66
2.69,2.95,3.84,2.49,2.19,2.69,0.96,5.89,1.49,2.91,0.0,3.76,3.63
2.64,2.95,3.86,2.5,2.15,2.63,0.94,5.85,1.38,2.88,0.0,3.58,3.55
2.71,2.95,3.9,2.49,2.17,2.65,0.95,5.93,1.46,2.85,0.0,3.58,3.51
2.66,2.92,3.9,2.49,2.17,2.63,0.96,5.89,1.48,2.88,0.0,3.61,3.5
2.69,2.95,3.86,2.47,2.17,2.66,0.96,5.93,1.5,2.85,0.0,3.59,3.51
2.65,2.9,3.9,2.49,2.16,2.64,0.98,5.89,1.5,2.85,0.0,3.58,3.47
2.71,2.96,3.86,2.49,2.15,2.65,0.96,6.01,1.5,2.83,0.0,3.58,3.47
2.71,2.95,3.88,2.49,2.16,2.63,0.95,5.97,1.5,2.81,0.0,3.58,3.58
2.69,2.97,3.9,2.53,2.16,2.64,0.96,5.97,1.48,2.83,0.0,3.59,3.51
