Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.09,2.2,3.19,1.96,2.03,2.6,0.88,4.66,0.0,3.17,0.0,4.32,4.43
2.11,2.21,3.26,1.99,2.08,2.65,0.88,4.66,0.0,3.21,0.0,4.4,4.5
2.1,2.21,3.24,1.98,2.08,2.66,0.88,4.69,0.0,3.21,0.0,4.38,4.45
2.1,2.19,3.2,1.95,2.06,2.65,0.89,4.72,0.0,3.19,0.0,4.3,4.47
2.09,2.21,3.19,1.98,2.06,2.64,0.88,4.66,0.0,3.21,0.0,4.3,4.43
2.11,2.21,3.17,1.96,2.09,2.63,0.88,4.69,0.0,3.2,0.0,4.32,4.43
2.09,2.2,3.17,1.96,2.06,2.64,0.89,4.69,0.0,3.21,0.0,4.32,4.45
2.09,2.2,3.19,1.98,2.08,2.63,0.89,4.66,0.0,3.2,0.0,4.32,4.45
2.09,2.21,3.2,1.96,2.06,2.66,0.88,4.72,0.0,3.19,0.0,4.32,4.47
2.06,2.21,3.21,1.96,2.09,2.64,0.88,4.72,0.0,3.17,0.0,4.3,4.43
2.09,2.2,3.19,1.96,2.09,2.63,0.89,4.66,0.0,3.14,0.0,4.32,4.43
2.15,2.21,3.24,2.0,2.11,2.72,0.95,4.84,0.0,3.3,0.0,4.53,4.61
2.13,2.25,3.25,2.01,2.11,2.74,0.95,4.89,0.0,3.35,0.0,4.56,4.56
2.13,2.25,3.25,2.01,2.11,2.72,0.95,4.86,0.0,3.3,0.0,4.56,4.59
2.11,2.26,3.21,2.03,2.11,2.74,0.95,4.8,0.0,3.33,0.0,4.56,4.59
2.14,2.26,3.24,2.01,2.11,2.71,0.98,4.8,0.0,3.31,0.0,4.5,4.61
2.15,2.26,3.26,2.03,2.11,2.74,0.96,4.86,0.0,3.31,0.0,4.53,4.64
2.14,2.26,3.25,2.01,2.09,2.74,0.95,4.86,0.0,3.31,0.0,4.53,4.61
2.14,2.24,3.25,2.03,2.09,2.7,0.95,4.86,0.0,3.28,0.0,4.56,4.61
