Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,participant_id,posture
3.5,3.84,5.63,3.94,5.51,7.32,2.81,4.5,0.0,5.2,4.3,5.01,4.75,01,leaning-backward
3.51,3.74,5.24,3.88,5.44,7.21,2.8,4.45,0.0,5.26,4.32,5.01,4.75,01,leaning-backward
3.51,3.61,5.44,3.59,5.34,7.28,2.83,4.47,0.0,5.26,4.38,5.1,4.78,01,leaning-backward
3.58,3.78,5.66,4.03,5.47,7.28,2.84,4.47,0.0,5.26,4.35,5.14,4.8,01,leaning-backward
3.51,3.72,5.59,4.05,5.47,7.28,2.83,4.43,0.0,5.26,4.3,4.78,4.38,01,leaning-backward
3.51,3.74,5.66,4.05,5.47,7.28,2.85,4.5,0.0,5.34,4.38,5.24,4.84,01,leaning-backward
3.36,3.7,5.78,4.03,5.55,7.44,2.91,4.53,0.0,5.38,4.45,5.34,4.93,01,leaning-backward
3.59,3.78,5.78,4.01,5.51,7.28,2.9,4.53,0.0,5.3,4.43,5.38,4.89,01,leaning-backward
3.59,3.88,5.81,4.1,5.55,7.32,2.95,4.53,0.0,5.38,4.43,4.26,4.84,01,leaning-backward
3.66,3.9,5.81,4.11,5.51,7.28,2.91,4.53,0.0,5.38,4.38,4.01,4.84,01,leaning-backward
3.67,3.88,5.78,4.07,5.44,7.1,2.91,4.47,0.0,5.34,4.38,5.44,4.8,01,leaning-backward
3.8,3.92,5.81,4.1,5.59,7.32,2.95,4.56,0.0,5.4,4.43,5.47,4.86,01,leaning-backward
3.84,3.96,5.85,4.11,5.63,7.44,2.99,4.61,0.0,5.4,4.45,5.59,4.93,01,leaning-backward
3.88,3.96,5.93,4.1,5.63,7.39,2.95,4.56,0.0,5.44,4.47,5.26,4.95,01,leaning-backward
3.67,3.96,5.81,4.11,5.66,7.56,2.95,4.56,0.0,5.51,4.5,5.47,5.05,01,leaning-backward
3.67,3.9,5.78,4.11,5.59,7.56,2.92,4.53,0.0,5.59,4.5,5.69,5.1,01,leaning-backward
3.58,3.55,4.99,3.74,4.99,6.84,2.83,4.11,0.0,4.93,3.94,4.86,4.69,01,leaning-backward
3.8,3.88,5.74,4.1,5.63,7.5,2.97,4.45,0.0,4.69,4.3,4.95,4.99,01,leaning-backward
3.78,3.84,5.38,3.8,5.07,6.54,2.78,4.07,0.0,4.93,3.92,4.5,4.4,01,leaning-backward
3.84,3.88,5.66,4.05,5.59,7.32,2.96,4.47,0.0,5.4,4.35,5.05,4.93,01,leaning-backward
3.86,3.86,5.74,4.01,5.55,7.28,2.95,4.45,0.0,5.4,4.32,5.24,4.93,01,leaning-backward
3.78,3.74,5.44,3.72,5.3,6.54,2.78,4.03,0.0,4.89,3.94,3.36,4.43,01,leaning-backward
3.59,3.59,5.14,3.92,5.1,6.59,2.84,4.03,0.0,4.93,3.9,3.66,4.53,01,leaning-backward
4.01,3.99,5.93,4.35,5.78,7.69,3.1,4.47,0.0,5.59,4.3,5.2,5.01,01,leaning-backward
3.92,3.94,5.78,4.32,5.66,7.56,3.08,4.4,0.01,5.47,4.14,0.25,4.8,01,leaning-backward
3.84,3.94,5.81,4.26,5.63,7.5,3.06,4.35,0.0,5.38,4.1,0.01,4.8,01,leaning-backward
4.01,4.05,6.01,4.45,5.89,7.81,3.17,4.47,0.0,5.59,4.19,0.01,4.99,01,leaning-backward
4.05,4.19,6.05,4.3,5.81,7.63,3.17,4.3,0.0,5.51,3.96,0.0,4.78,01,leaning-backward
